Date,3 Mo,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr
1990-01-03,0.0077,0.0063,0.0051,0.0089,0.0076,0.0064,0.0075,0.0063
1990-01-04,-0.0063,-0.005,-0.0038,-0.0025,-0.0038,-0.0013,-0.0025,-0.0013
1990-01-05,-0.0064,-0.0063,-0.0038,-0.0025,0.0013,0.0013,0.0012,0.0013
1990-01-08,0.0,0.0038,0.0026,0.0,0.0013,0.0,0.0025,0.0038
1990-01-09,0.0013,-0.0076,-0.0038,0.0013,-0.0013,0.0,0.0,0.0
1990-01-10,-0.0064,-0.0051,-0.0013,0.0,0.0013,0.0,-0.0062,0.0012
1990-01-11,0.0065,0.0026,0.0,0.0,0.0,0.0025,0.0012,0.0012
1990-01-12,-0.0077,0.0013,-0.0013,0.0025,0.0038,0.0063,0.0075,0.0075
1990-01-16,0.0194,0.023,0.0206,0.0214,0.0188,0.015,0.0136,0.0123
1990-01-17,0.0101,-0.0025,-0.0013,-0.0012,-0.0025,0.0,-0.0012,-0.0012
1990-01-18,0.0088,0.0138,0.0177,0.0198,0.021,0.0197,0.0171,0.0159
1990-01-19,-0.005,-0.0087,-0.0062,-0.0061,-0.006,-0.0085,-0.0084,-0.0072
1990-01-22,-0.0012,-0.0025,-0.0025,-0.0024,-0.0036,-0.0012,0.0012,0.0012
1990-01-23,-0.0075,-0.0025,-0.0013,0.0,0.0,-0.0012,-0.0024,-0.0012
1990-01-24,0.0,0.0025,0.0038,0.0024,0.011,0.0122,0.0134,0.0145
1990-01-25,0.0025,0.0025,0.0037,0.0049,0.0036,0.0036,0.006,0.0048
1990-01-26,-0.0025,0.0037,0.005,0.0049,0.0072,0.0084,0.0072,0.0083
1990-01-29,0.0088,0.0062,0.0012,0.0024,0.0012,0.0012,0.0,0.0012
1990-01-30,0.0,0.0062,0.0012,0.0,0.0,0.0048,0.0024,0.0012
1990-01-31,0.0,-0.0012,-0.0012,-0.0024,-0.0036,-0.0095,-0.0094,-0.0094
1990-02-01,0.0025,0.0,0.0012,0.0,-0.0012,0.0,-0.0012,-0.0012
1990-02-02,0.0062,0.0049,0.0049,0.0109,0.0096,0.0084,0.0095,0.0095
1990-02-05,0.0012,0.0012,0.0025,0.0,0.0,0.0024,0.0024,0.0035
1990-02-06,0.0012,-0.0012,0.0,0.006,0.0,0.0059,0.0047,0.0047
1990-02-07,-0.0012,0.0024,0.0025,0.0,0.0,0.0024,0.0012,-0.0058
1990-02-08,0.0,-0.0012,-0.0049,-0.0059,-0.0047,-0.0071,-0.0059,-0.0035
1990-02-09,-0.0074,-0.011,-0.0123,-0.0143,-0.0179,-0.0189,-0.0165,-0.0212
1990-02-12,-0.0037,0.0025,0.0037,0.0085,0.0097,0.0097,0.0084,0.0108
1990-02-13,-0.0188,-0.0173,-0.0136,-0.0132,-0.0132,-0.0096,-0.0059,-0.006
1990-02-14,0.0038,0.0038,0.0101,0.0073,0.0073,0.006,0.0,0.0012
1990-02-15,0.0127,0.01,0.01,0.0097,0.0097,0.0072,0.0096,0.0084
1990-02-16,-0.0038,-0.0012,-0.0025,0.0012,-0.0012,0.0012,-0.0012,-0.0012
1990-02-20,0.0151,0.0161,0.0185,0.0191,0.0216,0.0202,0.0237,0.0238
1990-02-21,-0.0062,-0.0012,-0.0024,-0.0023,0.0,0.0023,0.0,0.0
1990-02-22,-0.0025,-0.0049,-0.0061,-0.0059,-0.0047,-0.014,-0.007,-0.0093
1990-02-23,-0.0075,-0.0074,-0.0073,-0.0024,-0.0035,-0.0012,-0.0012,-0.0012
1990-02-26,0.005,0.0,-0.0012,-0.0059,-0.0059,-0.0083,-0.0082,-0.0082
1990-02-27,0.0025,0.0012,-0.0049,-0.0048,-0.0071,-0.0071,-0.0071,-0.0059
1990-02-28,0.0063,0.0049,0.0074,0.0108,0.0132,0.012,0.013,0.0119
1990-03-01,0.005,0.0061,0.0111,0.0119,0.0095,0.0107,0.0094,0.0094
1990-03-02,-0.0074,-0.0024,0.0012,-0.0059,-0.0035,-0.0035,-0.0058,-0.0058
1990-03-05,0.0087,0.0122,0.0109,0.0083,0.0106,0.0094,0.014,0.0129
1990-03-06,0.0099,-0.0036,0.0,-0.0012,-0.0035,-0.0012,-0.0058,-0.0069
1990-03-07,0.0012,-0.0024,-0.0024,0.0,-0.0012,-0.0012,-0.0012,-0.0012
1990-03-08,0.0,0.0024,0.0072,0.0059,0.0035,0.0012,-0.0012,-0.0012
1990-03-09,0.0098,0.0109,0.0132,0.0163,0.0152,0.0128,0.0104,0.0093
1990-03-12,0.0,0.0,-0.0024,-0.0023,-0.0011,-0.0012,-0.0011,-0.0023
1990-03-13,0.0,0.0012,0.0047,0.0069,0.008,0.0092,0.0092,0.0116
1990-03-14,-0.0036,-0.0036,-0.0083,-0.0091,-0.008,-0.0091,-0.008,-0.0092
1990-03-15,-0.0024,0.0012,0.0,0.0023,0.0,0.0023,0.0023,0.0012
1990-03-16,-0.0024,-0.0036,-0.0059,-0.008,-0.0092,-0.0092,-0.0103,-0.0081
1990-03-19,0.0037,0.0036,0.0024,0.0046,0.0046,0.0046,0.0023,0.0
1990-03-20,0.0036,0.0036,0.0,0.0,-0.0012,-0.0046,-0.0046,-0.0058
1990-03-21,-0.0024,-0.0012,0.0012,0.0012,0.0012,0.0012,0.0012,0.0012
1990-03-22,-0.0073,-0.0084,-0.0083,-0.0081,-0.0069,-0.007,-0.0023,-0.0023
1990-03-23,-0.0024,-0.0012,-0.0036,-0.0012,-0.0012,-0.0023,-0.0023,-0.0012
1990-03-26,-0.0025,0.0024,0.0012,0.0,0.0,-0.0023,-0.0012,-0.0012
1990-03-27,0.0049,0.0024,0.006,-0.0023,0.0012,0.0035,0.0012,0.0012
1990-03-28,-0.0061,-0.0036,-0.0024,-0.0023,0.0,-0.0023,-0.0012,-0.0012
1990-03-29,-0.0025,0.0012,0.0036,0.0058,0.0058,0.0082,0.0093,0.0106
1990-03-30,-0.0037,-0.0048,-0.0012,0.0023,0.0046,0.0058,0.0046,0.0058
1990-04-02,-0.0025,-0.0012,-0.0012,-0.0023,-0.0023,0.0,-0.0011,0.0
1990-04-03,0.005,0.0024,-0.0024,-0.0012,-0.0023,-0.0012,0.0,-0.0023
1990-04-04,-0.0099,-0.0097,-0.006,-0.0081,-0.0069,-0.0093,-0.0081,-0.0093
1990-04-05,0.0012,0.0012,0.0012,0.0,0.0012,0.0012,0.0012,0.0023
1990-04-06,0.0,-0.0024,-0.0024,-0.0023,-0.0023,-0.0023,-0.0023,-0.0012
1990-04-09,0.0087,0.0086,0.0036,0.0023,0.0023,0.0035,0.0046,0.0035
1990-04-10,-0.0049,-0.0024,0.0,0.0,-0.0012,0.0,0.0,0.0012
1990-04-11,-0.0025,-0.0012,-0.0012,0.0023,0.0035,0.0023,-0.0023,0.0035
1990-04-12,-0.0012,0.0,0.0012,0.0012,0.0012,0.0023,0.0023,0.0012
1990-04-16,-0.0012,-0.0024,0.0,0.0047,0.0035,0.0035,0.0046,0.0046
1990-04-17,0.0025,0.0061,0.0109,0.0105,0.0104,0.0092,0.0104,0.0104
1990-04-18,0.0062,0.0085,0.0131,0.0103,0.0103,0.0126,0.0114,0.0103
1990-04-19,-0.0025,-0.0024,-0.0035,0.0023,0.0023,0.0,0.0,0.0011
1990-04-20,-0.0136,-0.0048,-0.0024,0.0011,0.0023,0.0045,0.0079,0.009
1990-04-23,0.0063,0.0085,0.0071,0.0057,0.0034,0.0045,0.0022,0.0034
1990-04-24,0.0037,0.006,0.0059,0.0056,0.0079,0.0045,0.0045,0.0022
1990-04-25,0.0037,0.0048,0.0023,0.0034,0.0033,0.0045,0.0022,0.0011
1990-04-26,0.0037,0.006,0.0082,0.0089,0.0111,0.01,0.0078,0.0067
1990-04-27,-0.0049,-0.0083,-0.0081,-0.0055,-0.0044,-0.0033,-0.0011,-0.0011
1990-04-30,0.0025,0.0072,0.0012,-0.0022,-0.0022,-0.0022,-0.0033,-0.0022
1990-05-01,0.0149,0.0059,-0.0023,0.0067,0.0044,0.0044,0.0033,0.0044
1990-05-02,-0.0024,0.0,0.0082,0.0033,0.0022,0.0022,0.0033,0.0011
1990-05-03,-0.0024,-0.0047,-0.0012,-0.0077,-0.0066,-0.0066,-0.0077,-0.0055
1990-05-04,-0.016,-0.0237,-0.022,-0.0312,-0.0309,-0.0265,-0.0243,-0.0221
1990-05-07,0.0087,0.0012,0.0012,0.0046,0.0057,0.0034,0.0034,0.0034
1990-05-08,-0.0037,-0.0048,-0.0047,-0.0069,-0.0102,-0.0045,-0.0034,-0.0034
1990-05-09,-0.0062,-0.0024,0.0,0.0081,0.0069,0.0091,0.0102,0.0045
1990-05-10,-0.005,-0.0061,-0.0083,-0.0069,-0.0068,-0.0079,-0.0067,-0.0068
1990-05-11,-0.0113,-0.0135,-0.0144,-0.0161,-0.0172,-0.0182,-0.0203,-0.0204
1990-05-14,0.0013,0.0025,-0.0012,-0.0047,-0.0047,-0.0046,-0.0046,-0.0035
1990-05-15,0.0025,0.0037,0.0037,0.0035,0.0047,0.0047,0.0046,0.0046
1990-05-16,0.0025,0.0,0.0,0.0,0.0012,0.0023,0.0035,0.0035
1990-05-17,0.0,0.0012,0.0012,0.0023,0.0012,0.0035,0.0023,0.0012
1990-05-18,0.0101,0.0074,0.0085,0.0082,0.0105,0.0058,0.0069,0.0069
1990-05-21,0.0012,0.0025,-0.0012,-0.0023,-0.0035,0.0,-0.0023,-0.0011
1990-05-22,-0.0037,0.0,-0.0096,-0.0081,-0.0092,-0.0092,-0.0091,-0.0103
1990-05-23,-0.01,-0.0086,-0.0061,-0.0035,-0.0035,-0.0058,-0.0046,-0.0046
1990-05-24,0.0051,0.0012,-0.0012,-0.0012,-0.0012,-0.0035,0.0012,0.0023
1990-05-25,0.0075,0.0074,0.0086,0.0035,0.0059,0.0035,0.0058,0.007
1990-05-29,0.0012,-0.0012,0.0,-0.0012,-0.0023,-0.0023,-0.0034,-0.0035
1990-05-30,0.0012,-0.0098,-0.0036,-0.0047,-0.0035,-0.0035,-0.0035,-0.0046
1990-05-31,-0.0025,0.0037,0.0024,0.0024,-0.0012,0.0,-0.0012,-0.0023
1990-06-01,-0.0087,-0.0135,-0.0195,-0.02,-0.0199,-0.021,-0.0197,-0.0186
1990-06-04,0.0025,0.0025,0.0012,-0.0024,0.0,0.0012,0.0,0.0
1990-06-05,0.0,0.0,0.0025,0.0036,0.0024,0.0036,0.0047,0.0036
1990-06-06,0.0,-0.0012,0.0,0.0,0.0024,0.0012,0.0,-0.0012
