Date,3 Mo,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,open,high,low,close
1990-01-02,7.83,7.89,7.81,7.87,7.9,7.87,7.98,7.94,5.867600559885596,5.8852425493698926,5.863574355802065,5.8852425493698926
1990-01-03,7.89,7.94,7.85,7.94,7.96,7.92,8.04,7.99,5.8852425493698926,5.887741578826176,5.880225676616052,5.882653641249802
1990-01-04,7.84,7.9,7.82,7.92,7.93,7.91,8.02,7.98,5.882653641249802,5.882653641249802,5.866156393640459,5.874003334660953
1990-01-05,7.79,7.85,7.79,7.9,7.94,7.92,8.03,7.99,5.874003334660953,5.874003334660953,5.861782877638206,5.864199196062105
1990-01-08,7.79,7.88,7.81,7.9,7.95,7.92,8.05,8.02,5.864199196062105,5.869974649520272,5.85947482264503,5.868703516769989
1990-01-09,7.8,7.82,7.78,7.91,7.94,7.92,8.05,8.02,5.868816571799644,5.869777023850878,5.856818247491283,5.856846850383038
1990-01-10,7.75,7.78,7.77,7.91,7.95,7.92,8.0,8.03,5.856846850383038,5.856846850383038,5.841571457533365,5.850217752885746
1990-01-11,7.8,7.8,7.77,7.91,7.95,7.94,8.01,8.04,5.850217752885746,5.858333074504786,5.850217752885746,5.8537243097094045
1990-01-12,7.74,7.81,7.76,7.93,7.98,7.99,8.07,8.1,5.8537243097094045,5.8537243097094045,5.82744449148394,5.8287397140605846
1990-01-16,7.89,7.99,7.92,8.1,8.13,8.11,8.18,8.2,5.820082930352362,5.831149070576641,5.809252984264471,5.831149070576641
1990-01-17,7.97,7.97,7.91,8.09,8.11,8.11,8.17,8.19,5.83120776291144,5.834839976401213,5.817884670250782,5.821269170111868
1990-01-18,8.04,8.08,8.05,8.25,8.28,8.27,8.31,8.32,5.821269170111868,5.82416952433065,5.811081110944286,5.823607867724549
1990-01-19,8.0,8.01,8.0,8.2,8.23,8.2,8.24,8.26,5.823607867724549,5.830356386713225,5.823607867724549,5.826442487392089
1990-01-22,7.99,7.99,7.98,8.18,8.2,8.19,8.25,8.27,5.826413001478981,5.828827963630426,5.799940779549227,5.800243507126995
1990-01-23,7.93,7.97,7.97,8.18,8.2,8.18,8.23,8.26,5.800243507126995,5.807421509415687,5.795054207870925,5.803959579621872
1990-01-24,7.93,7.99,8.0,8.2,8.29,8.28,8.34,8.38,5.803959579621872,5.8042610932224195,5.7812680695479735,5.799880223034842
1990-01-25,7.95,8.01,8.03,8.24,8.32,8.31,8.39,8.42,5.799880223034842,5.806128451153156,5.784840051790853,5.787142750034359
1990-01-26,7.93,8.04,8.07,8.28,8.38,8.38,8.45,8.49,5.78717341688503,5.794780339478191,5.772810901066624,5.786283696167945
1990-01-29,8.0,8.09,8.08,8.3,8.39,8.39,8.45,8.5,5.786283696167945,5.790907734049872,5.77389915887345,5.784440377673655
1990-01-30,8.0,8.14,8.09,8.3,8.39,8.43,8.47,8.51,5.784440377673655,5.786068817343426,5.767789604630493,5.7775904018009205
1990-01-31,8.0,8.13,8.08,8.28,8.36,8.35,8.39,8.43,5.7775904018009205,5.796300882300729,5.7775904018009205,5.796300882300729
1990-02-01,8.02,8.13,8.09,8.28,8.35,8.35,8.38,8.42,5.796300882300729,5.798668322020006,5.792281633238615,5.795419249094217
1990-02-02,8.07,8.17,8.13,8.37,8.43,8.42,8.46,8.5,5.795419249094217,5.8054361283827,5.793287960989928,5.801876654321982
1990-02-05,8.08,8.18,8.15,8.37,8.43,8.44,8.48,8.53,5.801876654321982,5.805616780537469,5.800455361916462,5.804683059591934
1990-02-06,8.09,8.17,8.15,8.42,8.43,8.49,8.52,8.57,5.804683059591934,5.804713193234641,5.793623178655991,5.79806182030321
1990-02-07,8.08,8.19,8.17,8.42,8.43,8.51,8.53,8.52,5.79806182030321,5.810422171812407,5.788583076348666,5.810392209714459
1990-02-08,8.08,8.18,8.13,8.37,8.39,8.45,8.48,8.49,5.810392209714459,5.8173789812387415,5.805134968916488,5.808022362645324
1990-02-09,8.02,8.09,8.03,8.25,8.24,8.29,8.34,8.31,5.80820254823697,5.812935788552723,5.806369146764632,5.810002620725909
1990-02-12,7.99,8.11,8.06,8.32,8.32,8.37,8.41,8.4,5.810002620725909,5.810002620725909,5.799001741237134,5.799335049322941
1990-02-13,7.84,7.97,7.95,8.21,8.21,8.29,8.36,8.35,5.799335049322941,5.803959579621872,5.792769676196082,5.802178796512394
1990-02-14,7.87,8.0,8.03,8.27,8.27,8.34,8.36,8.36,5.802178796512394,5.808742910292687,5.801030170203477,5.805165088944803
1990-02-15,7.97,8.08,8.11,8.35,8.35,8.4,8.44,8.43,5.805165088944803,5.814757201098495,5.803959579621872,5.81380211969475
1990-02-16,7.94,8.07,8.09,8.36,8.34,8.41,8.43,8.42,5.81380211969475,5.816039157001868,5.806399229642964,5.807301295434656
1990-02-20,8.06,8.2,8.24,8.52,8.52,8.58,8.63,8.62,5.807301295434656,5.807301295434656,5.787694609508156,5.792983120114503
1990-02-21,8.01,8.19,8.22,8.5,8.52,8.6,8.63,8.62,5.792739180488351,5.793531766799809,5.782193081947429,5.792007004367292
1990-02-22,7.99,8.15,8.17,8.45,8.48,8.48,8.57,8.54,5.792007004367292,5.802057950590797,5.785976712282188,5.785976712282188
1990-02-23,7.93,8.09,8.11,8.43,8.45,8.47,8.56,8.53,5.785976712282188,5.787357398242105,5.774862056337153,5.781206371621004
1990-02-26,7.97,8.09,8.1,8.38,8.4,8.4,8.49,8.46,5.7812372210603185,5.795054207870925,5.780681785491992,5.795054207870925
1990-02-27,7.99,8.1,8.06,8.34,8.34,8.34,8.43,8.41,5.795084633062987,5.804954229692573,5.7944455095534435,5.799880223034842
1990-02-28,8.04,8.14,8.12,8.43,8.45,8.44,8.54,8.51,5.799880223034842,5.809582893542412,5.799577385444326,5.804803588714929
1990-03-01,8.08,8.19,8.21,8.53,8.53,8.53,8.62,8.59,5.804803588714929,5.812337881210547,5.802360038017195,5.807361404231597
1990-03-02,8.02,8.17,8.22,8.48,8.5,8.5,8.57,8.54,5.807361404231597,5.8157411743422545,5.807301295434656,5.8157411743422545
1990-03-05,8.09,8.27,8.31,8.55,8.59,8.58,8.69,8.65,5.8157411743422545,5.818241473299286,5.809612879898623,5.810362246718757
1990-03-06,8.17,8.24,8.31,8.54,8.56,8.57,8.64,8.59,5.810362246718757,5.822838773443014,5.809852738383268,5.822838773443014
1990-03-07,8.18,8.22,8.29,8.54,8.55,8.56,8.63,8.58,5.822838773443014,5.82552801956335,5.818092820833612,5.819934551392226
1990-03-08,8.18,8.24,8.35,8.59,8.58,8.57,8.62,8.57,5.819934551392226,5.830884912432431,5.819934551392226,5.829739420112677
1990-03-09,8.26,8.33,8.46,8.73,8.71,8.68,8.71,8.65,5.829298496517591,5.829739420112677,5.819608040161791,5.822838773443014
1990-03-12,8.26,8.33,8.44,8.71,8.7,8.67,8.7,8.63,5.822838773443014,5.826236067740204,5.81752773984842,5.825026181941565
1990-03-13,8.26,8.34,8.48,8.77,8.77,8.75,8.78,8.73,5.825026181941565,5.825026181941565,5.8152045816926226,5.817111159963204
1990-03-14,8.23,8.31,8.41,8.69,8.7,8.67,8.71,8.65,5.817111159963204,5.821950621333,5.813921554767001,5.819697099252557
1990-03-15,8.21,8.32,8.41,8.71,8.7,8.69,8.73,8.66,5.819697099252557,5.825734585406947,5.819697099252557,5.823252974632368
1990-03-16,8.19,8.29,8.36,8.64,8.62,8.61,8.64,8.59,5.823252974632368,5.834547544535753,5.823252974632368,5.834547544535753
1990-03-19,8.22,8.32,8.38,8.68,8.66,8.65,8.66,8.59,5.834547544535753,5.839943739466739,5.826354027044381,5.839274444093357
1990-03-20,8.25,8.35,8.38,8.68,8.65,8.61,8.62,8.54,5.839274444093357,5.842065062456207,5.831501172924694,5.833552636043784
1990-03-21,8.23,8.34,8.39,8.69,8.66,8.62,8.63,8.55,5.833552636043784,5.835804395267518,5.827650661869767,5.828180619191165
1990-03-22,8.17,8.27,8.32,8.62,8.6,8.56,8.61,8.53,5.828180619191165,5.828268918112504,5.810002620725909,5.8161881150406645
1990-03-23,8.15,8.26,8.29,8.61,8.59,8.54,8.59,8.52,5.8161881150406645,5.821802519260782,5.8161881150406645,5.820735536349835
1990-03-26,8.13,8.28,8.3,8.61,8.59,8.52,8.58,8.51,5.820735536349835,5.828180619191165,5.820735536349835,5.821950621333
1990-03-27,8.17,8.3,8.35,8.59,8.6,8.55,8.59,8.52,5.821950621333,5.833347679010845,5.820171947161761,5.833347679010845
1990-03-28,8.12,8.27,8.33,8.57,8.6,8.53,8.58,8.51,5.833347679010845,5.836505207069838,5.830708768228588,5.834810737062605
